,temp,humidity,dew,wind,rain,solar_rad,pressure
11/23/2000,13.86,77.03,9.22,1.9,0.04,12.55,97.04
11/24/2000,15.84,77.03,11.12,1.37,0.03,14.12,97.17
11/25/2000,16.26,70.37,10.06,2.49,0,14.22,97.29
11/26/2000,18.78,49.59,6.7,1.14,0,14.07,97.26
11/27/2000,19.5,40.24,4.56,1.96,0,13.57,97.14
11/28/2000,19.73,41.75,5.36,2.91,0.04,13.31,96.7
11/29/2000,15.76,64.83,8.5,1.88,0.44,12.98,96.92
11/30/2000,15.44,65.97,8.05,1.71,0,12.41,96.78
12/1/2000,15.4,69.12,8.23,1.72,0.01,12.39,97.04
12/2/2000,15.89,69.45,9.75,2,0,10.78,97.29
12/3/2000,15.6,56.29,5.59,1.9,0,11.76,97.05
12/4/2000,16.49,48.78,5.16,1.9,0,12.24,96.9
12/5/2000,16.09,48.56,4.78,1.65,0,8.36,96.84
12/6/2000,17.86,33.65,0.48,2.44,0,11.02,96.59
12/7/2000,18.22,31.91,0.26,3.87,0.12,4.76,96.33
12/8/2000,14.04,73.29,8.99,1.82,2.57,5.1,96.8
12/9/2000,12.87,68.07,6.21,1.87,0.06,10.88,97.27
12/10/2000,14.2,49.16,2.31,1.41,0,11.57,97.42
12/11/2000,15.95,33.88,-1.14,1.62,0,11.85,97.67
12/12/2000,15.66,35.18,-0.78,1.98,0,11.64,97.78
12/13/2000,15.98,32.03,-1.68,1.47,0,11.82,97.61
12/14/2000,15.11,34.83,-1.26,1.68,0,10.71,97.29
12/15/2000,14.2,45.37,0.88,1.7,0,10.87,96.79
12/16/2000,13.15,66.52,5.83,2.09,0,11.66,96.76
12/17/2000,12.22,72.67,6.75,2.2,0.07,11.21,96.95
12/18/2000,13.09,40.28,-2.39,1.92,0,10.64,96.87
12/19/2000,13.52,32.6,-4.39,4.14,2.14,10.59,96.36
12/20/2000,10,85.09,7.53,3.31,7.56,8.37,96.17
12/21/2000,12.68,58.61,3.92,5.16,1.13,10.17,95.84
12/22/2000,12.58,71.64,7.34,6.72,12.22,7.87,95.53
12/23/2000,13.83,63.09,6.28,5.33,1.6,10.76,95.88
12/24/2000,14.74,73.37,9.74,6.37,3.68,8.91,95.94
12/25/2000,14.38,72.66,9.24,5.03,0.8,9.94,96.13
12/26/2000,14.02,79.14,10.34,6.42,18.12,6.18,95.78
12/27/2000,11.48,81.57,8.22,4.39,9.43,7.96,96.59
12/28/2000,11.37,72.99,6.22,2.09,0,13.02,97.16
12/29/2000,13.66,66.48,7.19,1.05,0.25,12.04,97.14
12/30/2000,13.1,73.3,7.71,1.83,0.13,11.94,97.1
12/31/2000,13.29,53.17,2.31,1.58,0,10.55,96.8
1/1/2001,14.36,53.4,3.63,2.98,0,13.2,96.65
1/2/2001,13.32,72.56,8.15,1.55,1.09,13,96.94
1/3/2001,13.11,70.53,7,1.27,0,11.24,97.11
1/4/2001,13.26,57.96,4.41,1.22,0,10.98,97.2
1/5/2001,14.6,54.56,4.1,2.1,0,12.89,96.83
1/6/2001,11.99,77.89,8.03,2.88,19.64,4.71,96.71
1/7/2001,9.88,74.54,4.91,2.21,0.55,13.68,97.04
1/8/2001,10.57,57.1,0.73,1.97,0,13.38,96.78
1/9/2001,12.75,49.65,1.15,2.55,0.03,11.38,96.76
1/10/2001,13.53,47.08,1.38,2.65,0,13.61,96.72
1/11/2001,12.87,62.23,5.3,4.6,11.56,9.47,96.52
1/12/2001,10.98,83.55,8.07,4.27,13.08,8.95,96.5
1/13/2001,10.64,83.34,7.57,1.47,1.4,13.19,97.02
1/14/2001,11.65,74.14,6.63,1.29,0.81,14.26,96.93
1/15/2001,12.95,69.29,7.03,1.12,0.03,14.28,96.72
1/16/2001,12.39,77.07,7.92,1.35,0,13.59,97.01
1/17/2001,12.17,65.87,4.9,1.37,0,15,97.17
1/18/2001,11.6,72.08,6.03,1.57,0.02,13.76,97.3
1/19/2001,12.08,74.65,7.3,2.08,0.07,11.15,97.47
1/20/2001,11.53,57.99,2.24,1.65,0,15.17,97.32
1/21/2001,14.09,47.27,1.64,2.25,0,15.38,97.12
1/22/2001,14.57,44.66,0.93,1.96,0,15.27,97.14
1/23/2001,14.19,45.17,1.11,1.63,0,15.13,97.3
1/24/2001,13.52,46.94,0.32,2.17,0.01,15.12,97.24
1/25/2001,11.59,76.07,7.33,1.78,2.46,10.66,97.35
1/26/2001,10.73,75.16,5.69,1.89,0,15.11,97.49
1/27/2001,12.51,72.44,6.99,1.67,0.16,15.73,97.42
1/28/2001,12.67,82.75,9.6,2.27,1.11,15.14,97.1
1/29/2001,10.23,73.92,5.07,3.54,0.01,14.85,97.23
1/30/2001,9.77,66.06,2.39,2.9,0,15.91,97.25
1/31/2001,11.17,61.57,2.51,2.62,0,16.94,97.26
2/1/2001,12.59,60.32,3.59,2.35,0,16.53,97.16
2/2/2001,13.18,63.77,5.26,1.14,0,16.06,97.08
2/3/2001,13.51,59.03,3.7,1.86,0,15.95,97.09
2/4/2001,12.53,69.65,6.08,1.42,0,16.44,97.19
2/5/2001,13.05,58.23,3.31,1.76,0,17.33,97.11
2/6/2001,13.18,40.58,-2.02,2.54,0,17.31,96.76
2/7/2001,11.56,56.25,1.14,3.93,3.49,13.23,96.73
2/8/2001,10.94,72.83,5.39,1.69,0.24,17.24,97.26
2/9/2001,11.85,62.26,3.05,2.78,0,17.85,97.51
2/10/2001,15.03,44.44,1.1,1.4,0,17.61,97.68
2/11/2001,16.39,40.46,1.37,1.83,0,18.03,97.75
2/12/2001,17.72,41.85,3.05,1.49,0,18.15,97.71
2/13/2001,16.72,45.49,2.75,1.58,0,18.72,97.53
2/14/2001,13.87,51.74,1.67,2.21,0,17.83,97.15
2/15/2001,13.19,70.38,7.11,2.06,0,18.2,96.9
2/16/2001,11.08,65.73,3.27,2.93,0,18.65,96.83
